trope	description	trope_url
Abandoned Area	A place (or index) with nobody in it.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonedArea
Abandoned Catchphrase	A character has a catchphrase early on, only for it to fall out of favor.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonedCatchphrase
Abandoned Hospital	Abandoned hospitals are spooky.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonedHospital
Abandoned Hospital Awakening	When a character wakes up in deserted medical facility, typically without knowing why.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonedHospitalAwakening
Abandoned Info Page	Material that should get the audience up to speed is severely outdated.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonedInfoPage
Abandoned Laboratory	Abandoned science laboratories are spooky, usually because there's something dangerous present.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonedLaboratory
Abandoned Mascot	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonedMascot
Abandoned Mine	Deserted mine shafts are spooky and/or dangerous.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonedMine
Abandoned Pet In A Box	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonedPetInABox
Abandoned Playground	There's something unnerving about a playground in disrepair.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonedPlayground
Abandoned War Child	Child left neglected during the war.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonedWarChild
Abandoned Warehouse	Big empty warehouses are good places for plot events to happen.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonedWarehouse
Abandon Ship	Evacuating a ship after it has suffered critical damage.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonShip
Abandon Shipping	New information causes shippers to abandon a pairing.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonShipping
Abandon The Disabled	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonTheDisabled
Abandonware	Software no longer officially sold or supported.	http://tvtropes.org/pmwiki/pmwiki.php/Main/Abandonware
Abbey Road Crossing	Parody of the Abbey Road cover.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbbeyRoadCrossing
Abdicate The Throne	Someone of royalty decides to give up the throne and hand it down to someone else.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbdicateTheThrone
Abduction Is Love	Kidnapping the one you love results in them loving you.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbductionIsLove
Abhorrent Admirer	Ugly and/or obnoxious character in romantic pursuit of another.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbhorrentAdmirer
Abilene Paradox	A group decides to do something that none of them really want, because each person incorrectly thinks it's what everyone else wants.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbileneParadox
Ability Depletion Penalty	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbilityDepletionPenalty
Ability Mixing	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbilityMixing
Ability Over Appearance	Screw resemblance to the original work; this person has the talent to portray the character.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbilityOverAppearance
Ability Required To Proceed	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbilityRequiredToProceed
A Birthday Not A Break	A character goes through a terrible event, even though it's their birthday.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ABirthdayNotABreak
Abled In The Adaptation	A character lacks or has a lessened version of the disability they had in the original work.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbledInTheAdaptation
A Bloody Mess	An innocent substance  always red  is mistaken for blood.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ABloodyMess
AB Negative	Everyone in fiction has a rare blood type, leading to drama.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ABNegative
Abnormal Allergy	A character having an oddball allergy, most of the time not even existing in real life.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbnormalAllergy
Abnormal Ammo	Gun shoots atypical projectiles.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbnormalAmmo
Abnormal Limb Rotation Range	The ability to rotate body parts beyond their normal limits.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbnormalLimbRotationRange
Abomination Accusation Attack	You want to ruin someone's life? Accuse them of something demonstrably bad. Doesn't matter if they actually did it; just say it and people will knee-jerk believe it.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbominationAccusationAttack
Aborted Arc	An ongoing storyline is abruptly abandoned.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbortedArc
Aborted Declaration Of Love	A character plans to confess their love, but decides not to.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbortedDeclarationOfLove
About The Author	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AboutTheAuthor
Above Good And Evil	A character claims that his objectives are more valuable than good and evil.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AboveGoodAndEvil
Above The Gods	The setting features entities even more powerful than its gods.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AboveTheGods
Above The Influence	A character refuses to take advantage of the person they have a crush on when they are vulnerable.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AboveTheInfluence
A Boy A Girl And A Baby Family	Family contains a son, a daughter, and a baby.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ABoyAGirlAndABabyFamily
A Boy And His X	A youth and their Plot Device.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ABoyAndHisX
Abridged Arena Array	There's a 100 maps to play on, but people only ever play on 2 or 3 of them.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbridgedArenaArray
Abridged For Children	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbridgedForChildren
Absence Makes The Heart Go Yonder	When a couple is separated, one of the pair starts a new relationship with someone else.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsenceMakesTheHeartGoYonder
Absence Of Evidence	It's a clue because it's not there.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsenceOfEvidence
Absent Aliens	Humans are the only intelligent life in the universe.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsentAliens
Absent Animal Companion	A pet or other animal introduced as if they would be a regular character disappears, often without explanation.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsentAnimalCompanion
Absentee Actor	Character doesn't appear in an episode for no apparent reason (or for a reason only readily apparent out-of-universe).	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsenteeActor
Absent Minded Professor	A scientist who is often lost in thought and a little out of touch with the world around them.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsentMindedProfessor
Absolute Cleavage	The entirety of the cleavage is shown, plus part of the abdomen.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsoluteCleavage
Absolute Comparative	"Describe your product as ""better,"" but don't say what it's better than."	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsoluteComparative
Absolute Xenophobe	A group that kills anything that is not one of them.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsoluteXenophobe
Abstract Apotheosis	A character becomes an abstract concept or an idea.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbstractApotheosis
Abstract Eater	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbstractEater
Abstract Scale	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbstractScale
Absurd Altitude	A character is flung to a ridiculous height which may or may not involve space.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdAltitude
Absurd Cutting Power	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdCuttingPower
Absurdism	Let's all laugh at how pointless life is!	http://tvtropes.org/pmwiki/pmwiki.php/Main/Absurdism
Absurdly Bright Light	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyBrightLight
Absurdly Cool City	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyCoolCity
Absurdly Dedicated Worker	A creature continues to carry out its last command even after it's no longer necessary.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyDedicatedWorker
Absurdly Divided School	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyDividedSchool
Absurdly Elderly Mother	A woman older than 50 gives birth to a child.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyElderlyMother
Absurdly High Level Cap	A Level-Cap is much higher than the level you need to be to finish the main game.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyHighLevelCap
Absurdly High Stakes Game	Betting ludicrously high, or betting non-cash items, on a gambling game.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyHighStakesGame
Absurdly Huge Population	The setting is in the future. A consequence of this is a population so huge it's inconceivable.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyHugePopulation
Absurdly Ineffective Barricade	This barricade is not going to work.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyIneffectiveBarricade
Absurdly Long Limousine	An insanely long limousine that belongs to a rich guy and often has nonsensical attachments.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyLongLimousine
Absurdly Long Stairway	An obstacle in the form of a ridiculously long stairway.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyLongStairway
Absurdly Long Wait	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyLongWait
Absurdly Low Level Cap	A Level-Cap that is easily reachable before the end of the game.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyLowLevelCap
Absurdly Powerful School Jurisdiction	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyPowerfulSchoolJurisdiction
Absurdly Powerful Student Council	Student organisation? More like independent political government.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyPowerfulStudentCouncil
Absurdly Sharp Blade	Absurd Cutting Power achieved just by using a blade that's sharp enough.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlySharpBlade
Absurdly Sharp Claws	A Natural Weapon that is much sharper than it would realistically be.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlySharpClaws
Absurdly Short Level	A level that's much shorter compared to others in the game.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyShortLevel
Absurdly Spacious Sewer	Sewers in fiction are ludicrously large, well-lit, and breathable.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlySpaciousSewer
Absurdly Youthful Mother	When you subtract the age (or apparent age) of a child from that of their parent, Fridge Logic results.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyYouthfulMother
Absurd Phobia	A character has an unusual fear that's Played for Laughs.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdPhobia
Ab Urbe Condita	Time measured from the founding of the city of Ancient Rome.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbUrbeCondita
Abuse Mistake	Type A: Something not abusive is mistaken for being abusive.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbuseMistake
Abusive Advertising	Ads that claim they will punish anyone who doesn't buy their product.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbusiveAdvertising
Abusive Alien Parents	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbusiveAlienParents
Abusive Parents	Their parents were/are not good to them.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbusiveParents
Abusive Precursors	Their ancestors were major assholes.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AbusivePrecursors
Academic Alpha Bitch	The Schoolyard Control Freak.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcademicAlphaBitch
Academic Athlete	A character is both athletic and academically successful.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcademicAthlete
Academy Of Adventure	A school of weirdness.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcademyOfAdventure
Academy Of Evil	A school where it's cool to be cruel. Classes include World Domination and organized crime.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcademyOfEvil
A Cappella	Music without instruments.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ACappella
A Cat In A Gang Of Dogs	The feline is the Token Minority in the canine pack.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ACatInAGangOfDogs
Accent Adaptation	Dialect in the work's original language is changed to a comparable one in the translation.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccentAdaptation
Accent Depundent	A work uses a pun that works better when said in a particular accent.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccentDepundent
Accent Interest	A character's accent draws attention from other characters.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccentInterest
Accent Relapse	A character who's been faking an accent to pass off as another nationality goes back to speaking how they speak normally because their cover's been blown.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccentRelapse
Accents Arent Hereditary	Family members have different accents when they logically shouldn't.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccentsArentHereditary
Accent Slip Up	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccentSlipUp
Accentuate The Negative	Complaining by focusing on and only talking about the negative parts of a subject, excluding all positives.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccentuateTheNegative
Ac CENT Upon The Wrong Syl LA Ble	The PROnunCIation's right, but not the ACcenTUation.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcCENTUponTheWrongSylLABle
Acceptable Breaks From Canon	Deviations from official continuity that fans will generally accept in fanworks.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableBreaksFromCanon
Acceptable Ethnic Targets	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableEthnicTargets
Acceptable Hard Luck Targets	People with disabilities or impediments of some sort are made fun of, and that's seen as OK.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableHardLuckTargets
Acceptable Hobby Targets	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableHobbyTargets
Acceptable Political Targets	Some political affiliations are considered fair game for ridicule or scorn.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptablePoliticalTargets
Acceptable Professional Targets	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableProfessionalTargets
Acceptable Religious Targets	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableReligiousTargets
Accessory Wearing Cartoon Animal	A character neither wears a shirt nor pants, but still wears some kind of clothing (Like hats or shoes).	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccessoryWearingCartoonAnimal
Accidental Adultery	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalAdultery
Accidental Aesop	An Aesop that the author didn't intend to be in the work.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalAesop
Accidental Aiming Skills	Bullseye! Too bad they were aiming for something else.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalAimingSkills
Accidental Art	Wonderful art made by complete accident.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalArt
Accidental Athlete	Someone discovers their athletic ability while doing something else.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalAthlete
Accidental Bargaining Skills	The buyer keeps insisting on raising the price.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalBargainingSkills
Accidental Bid	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalBid
Accidental Dance Craze	Became a Dance Sensation by pure accident.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalDanceCraze
Accidental Discovery	A character makes a groundbreaking scientific discovery by complete accident.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalDiscovery
Accidental Hand Hold	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalHandHold
Accidental Hero	Someone who made no plan to do anything noble, but unintentionally does so anyway.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalHero
Accidental Hug	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalHug
Accidental Innuendo	It actually isn't what they meant.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalInnuendo
