character_id	description	description_english
1	所属：熊本県	Affiliation: Kumamoto
2	所属：第一印刷株式会社	Affiliation: Daiichi Printing Co., Ltd.
3	"所属：にしこくんプロジェクト

武蔵の国・国分寺跡から発掘された“あぶみ瓦”の妖精。「にしこくんと申しますブーン( *｀ω´)！！」"	"Affiliation: Nishiko-kun Project

A fairy of ""Abumi Tile"" excavated from the remains of Kokubunji Temple in Musashi. ""I'm Nishiko-kun, Boone (*`ω')!!"""
4	"所属：大田原市観光協会

ボクの仕事は栃木県大田原市をPRして元気にすることだよ。旬な情報をブログやフェイスブックでお届けしてるよ。ボクと握手すると一矢必中のご利益があるかも…♪扇の的を射抜いたようにグランプリ1位を射抜きます!"	"Affiliation: Otawara City Tourism Association

My job is to publicize Otawara City, Tochigi Prefecture and make it better. I'll send you seasonal information on my blog and Facebook. If you shake hands with me, there might be an inevitable profit...♪ I will shoot the 1st place of the Grand Prix as if I hit the target of the fan!"
5	所属：はち丸事務局	Affiliation: Hachimaru Secretariat
6	"所属：深谷市役所

真面目なゆるキャラ、真面目にゆるキャラ♪埼玉県深谷市イメージキャラクターのふっかちゃんだよぉY(o0ω0o)Y♪ふっかちゃんにとって、泣いても笑っても今年がゆるキャラグランプリ最後の挑戦！てっぺん目指してばんがるから、応援よろしくおねぎしまぁ～す！Y(o≧ω≦o)Y"	"Affiliation: Fukaya City Hall

Serious Yuru Chara, Serious Yuru Chara♪ Fukka-chan, the image character of Fukaya City, Saitama Prefecture Y(o0ω0o)Y♪ For Fukka-chan, this year's final challenge is Yuru-chara Grand Prix, even if she crys or laughs! I'm aiming for the top, so please support me onion! Y(o≧ω≦o)Y"
7	"所属：北九州市人権推進センター

ぼくはモモマルくん。北九州市が、もっともっとあたたかいきもちにあふれたまちになるようにがんばる、モモンガの男の子だよ☆今年もグランプリで、おともだちがた～っくさんできるとうれしいな♪"	"Affiliation: Kitakyushu Human Rights Promotion Center

I'm Momomaru-kun. Kitakyushu is a momonga boy who works hard to become a town that is full of warmth and warmth."
8	所属：ひとひとの会(柳ケ瀬商店街)	Affiliation: Meeting of people (Yanagase Shopping Street)
9	"所属：大阪府箕面市

ゆずともみじの里・箕面をPRするために生まれたゆずのキャラクター。ご当地ゆるキャラ部門で毎年上位に入賞！たくさんのかたに箕面を知ってもらうため、今年も頑張るでござる！"	"Affiliation: Minoh City, Osaka Prefecture

A character of Yuzu that was born to publicize Minoh, the village of Yuzu and Momiji. Every year in the local Yuru Chara category, we win the top prize! Let's do our best this year so that many people can know about Minoh!"
10	"所属：にいがたスキー100年委員会

新潟で日本に初めてスキーを伝えた実在の偉人レルヒさんが100年の時を超えて新潟に帰ってきた！スキーはもちろん、食べ物や温泉など、たくさんある新潟の魅力をＰＲするため大忙しです！"	"Affiliation: Niigata Ski 100 Years Committee

Mr. Lerhi, a real man who first introduced skiing to Japan in Niigata, has returned to Niigata for over 100 years! Not only skiing, but we are very busy promoting the many attractions of Niigata, such as food and hot springs!"
